,Row.names,ACCNUM,SYMBOL,GO,Control1_Exp1,Control2_Exp2,Control3_Exp3
6616,10344620,NA,Gm10568,predicted gene 10568,0.070698331,-0.537233878,0.616342964
6618,10344624,NA,Lypla1,lysophospholipase 1,-0.169882003,0.136172304,-1.756472747
6619,10344633,NA,Tcea1,transcription elongation factor A (SII) 1,-0.342629481,0.268322307,-0.127019932
6620,10344637,NA,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",0.095680721,0.214268636,0.078159864
6621,10344653,NA,Oprk1,"opioid receptor, kappa 1",0.068637251,-0.679216429,0.307788315
6622,10344658,NA,Rb1cc1,RB1-inducible coiled-coil 1,0.158766613,1.061221423,-1.649630914
6623,10344674,NA,Fam150a,"family with sequence similarity 150, member A",-0.147258414,-0.698942028,0.746543722
6624,10344679,NA,St18,suppression of tumorigenicity 18,0.364121809,-0.598434013,0.444424161
6627,10344713,NA,Ahcy,S-adenosylhomocysteine hydrolase,0.367678939,-0.52450908,0.070054287
6628,10344715,NA,LOC102632303,uncharacterized LOC102632303,0.465579904,-0.221893261,0.05466263
6632,10344723,NA,Rrs1,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),-0.325971325,0.870418303,-0.370822664
6633,10344725,NA,Adhfe1,"alcohol dehydrogenase, iron containing, 1",-0.075211105,0.308532358,0.627199157
6634,10344741,NA,Hnrnpa3,heterogeneous nuclear ribonucleoprotein A3,0.305480827,-0.170234347,-0.265936325
6635,10344743,NA,3110035E14Rik,RIKEN cDNA 3110035E14 gene,-0.203255082,-0.611759206,-0.235753552
6636,10344750,NA,Sgk3,serum/glucocorticoid regulated kinase 3,-0.218915804,-0.395602521,-0.157316851
6637,10344772,NA,Mcmdc2,minichromosome maintenance domain containing 2,-0.515919837,0.415017164,-0.132187563
6638,10344789,NA,Cspp1,centrosome and spindle pole associated protein 1,-0.125807337,2.091302149,-0.902338135
6639,10344797,NA,Cspp1,centrosome and spindle pole associated protein 1,-0.413596635,-0.523237428,0.209884726
6640,10344799,NA,Cspp1,centrosome and spindle pole associated protein 1,0.431411947,0.971676425,0.704440683
6641,10344801,NA,Cspp1,centrosome and spindle pole associated protein 1,-2.240997872,2.466583716,-1.459548303
6642,10344803,NA,Cspp1,centrosome and spindle pole associated protein 1,-2.423011064,3.950550821,-1.654448866
6643,10344805,NA,Cspp1,centrosome and spindle pole associated protein 1,-1.778751394,1.551640276,-1.20096738
6644,10344807,NA,Cspp1,centrosome and spindle pole associated protein 1,-2.202199664,0.556354909,0.151477707
6645,10344809,NA,Cspp1,centrosome and spindle pole associated protein 1,0.342495599,0.943276345,-1.691706124
6646,10344811,NA,Cspp1,centrosome and spindle pole associated protein 1,0.814939097,0.251169325,-0.313589488
6647,10344813,NA,Cspp1,centrosome and spindle pole associated protein 1,-1.267561485,0.105848147,-0.110883312
6648,10344815,NA,Cspp1,centrosome and spindle pole associated protein 1,-0.205791065,-0.778718209,-0.516115795
